experiment,version,change,run_tag,wandb_run_id,state,feature_set,encoder,input_type,in_channels,epochs,learning_rate,batch_size,img_size,tta,jpeg_aug,edge_supervision,noise_features,pixel_f1,pixel_iou,pixel_auc,pixel_precision,pixel_recall,image_accuracy,image_macro_f1,image_roc_auc,best_val_f1,final_train_loss,final_val_loss,duration_min
vrp30,vR.P.30,"Multi-quality ELA + CBAM attention (25ep, BCE+Dice)",run01,l02wzuy4,finished,multi_quality_ela,resnet34,multi_quality_ela,3,25,0.001,16,384,False,False,False,False,0.743768572807312,0.592063307762146,0.973276616474766,0.8455034494400024,0.6638866066932678,0.8858954041204438,0.8767750459281832,0.9718403065403608,0.7331532835960388,0.23823118635103405,0.3986627189432809,119.01666666666667
vrp302,vR.P.30.2,"Multi-quality ELA + CBAM + Progressive Unfreeze (40ep, BCE+Dice)",run01,y5mvqged,crashed,multi_quality_ela,resnet34,multi_quality_ela,3,40,0.001,16,384,False,False,False,False,,,,,,,,,0.7141332030296326,0.17132899043118133,0.43230806238750097,146.11666666666667
vrp303,vR.P.30.3,Multi-quality ELA + CBAM + Focal+Dice loss (25ep),run01,fzjqxeos,finished,multi_quality_ela,resnet34,multi_quality_ela,3,25,0.001,16,384,False,False,False,False,0.750855565071106,0.6010958552360535,0.9693874331390724,0.8423141241073608,0.6773128509521484,0.9091389329107236,0.9034105741801663,0.978252016530226,0.7328960299491882,0.20399605444955307,0.32618465656492895,119.05
vrp304,vR.P.30.4,"Multi-quality ELA + CBAM + Geometric Augmentation (50ep, BCE+Dice)",run01,vnny8ird,finished,multi_quality_ela,resnet34,multi_quality_ela,3,50,0.001,16,384,False,False,False,False,,,,,,,,,,,,2.6333333333333333
vrp19,vR.P.19,"Multi-Quality RGB ELA (9ch, Q=75/85/95 full-color)",run01,20e21rc9,finished,multi_quality_ela,resnet34,Multi-Q RGB ELA,9,25,0.001,16,384,False,False,False,False,0.7964726686477661,0.6617819666862488,0.9726181034977148,0.860572338104248,0.7412599921226501,0.9038563127311148,0.8969819945890475,0.9765073650208942,0.7923915386199951,0.20166933424635616,0.3087769954095356,288.6333333333333
vrp20,vR.P.20,ELA Magnitude + Chrominance Direction Decomposition,run01,p3a3u2i1,finished,ela,resnet34,ELA Magnitude Decomposition,3,25,0.001,16,384,False,False,False,False,0.6554754972457886,0.4875147044658661,0.939873943960124,0.7585513591766357,0.5770614147186279,0.8584257791864764,0.8472044526365247,0.925755707139188,0.6194159984588623,0.33887938011146934,0.530577503914036,149.98333333333332
vrp21,vR.P.21,ELA Residual Learning (Laplacian high-pass filter on ELA),run01,zxublrux,finished,ela,resnet34,ELA Laplacian Residual,3,25,0.001,16,384,False,False,False,False,0.6176618933677673,0.44682401418685913,0.9280347078319094,0.7144818902015686,0.5439506769180298,0.8431061806656102,0.8329851263689763,0.9245900994497638,0.6255241632461548,0.33121684609410335,0.5419758509161824,143.43333333333334
vrp22,vR.P.22,SRM Noise Maps (3 Steganalysis Rich Model filters),run01,ejla880h,finished,srm_noise,resnet34,SRM Noise Maps,3,25,0.001,16,384,False,False,False,True,0.4771181643009186,0.3132995069026947,0.8586982719669363,0.5496922731399536,0.4214724600315094,0.6745905969360803,0.6451802932305752,0.7106556789100786,0.44030922651290894,0.5301631434183371,0.8150730656108724,110.13333333333334
vrp304,vR.P.30.4,"Multi-quality ELA + CBAM + Geometric Augmentation (50ep, BCE+Dice)",run01,k2joxtqw,finished,multi_quality_ela,resnet34,multi_quality_ela,3,50,0.001,16,384,False,False,False,False,0.7661648392677307,0.6209620237350464,0.9726066561284248,0.8820076584815979,0.6772189140319824,0.90121500264131,0.894182742679666,0.9755060414921628,0.7712340354919434,0.2848229700608176,0.3397071414866908,231.36666666666667
vrp301,vR.P.30.1,"Multi-quality ELA + CBAM attention (50ep, BCE+Dice)",run01,7wcf3zj0,finished,multi_quality_ela,resnet34,multi_quality_ela,3,50,0.001,16,384,False,False,False,False,0.7762386798858643,0.6343057155609131,0.979543709170932,0.8719217777252197,0.6994792222976685,0.913893291072372,0.9089281998533094,0.9814902655850136,0.769957423210144,0.11357417374092092,0.3598565532971392,225.21666666666667
