experiment_id,input_channels,model,loss,IoU,F1,pixel_auc,training_time,status,verdict
vR.P.0,3,UNet+ResNet34,BCE+Dice,0.2307,0.3749,0.8486,,completed,Baseline (no GT)
vR.P.1,3,UNet+ResNet34,BCE+Dice,0.2942,0.4546,0.8509,,completed,Baseline
vR.P.1.5,3,UNet+ResNet34,BCE+Dice,0.2680,0.4227,0.8560,,completed,NEUTRAL
vR.P.2,3,UNet+ResNet34,BCE+Dice,0.3439,0.5117,0.8688,,completed,POSITIVE
vR.P.3,3,UNet+ResNet34,BCE+Dice,0.5291,0.6920,0.9528,,completed,STRONG POSITIVE
vR.P.3.r02,3,UNet+ResNet34,BCE+Dice,0.5291,0.6920,0.9528,,completed,Reproducibility
vR.P.4,4,UNet+ResNet34,BCE+Dice,0.5447,0.7053,0.9433,,completed,NEUTRAL
vR.P.5,3,UNet+ResNet50,BCE+Dice,0.3456,0.5137,0.8828,,completed,POSITIVE
vR.P.6,3,UNet+EffNetB0,BCE+Dice,0.3529,0.5217,0.8708,,completed,POSITIVE
vR.P.7,3,UNet+ResNet34,BCE+Dice,0.5569,0.7154,0.9504,,completed,POSITIVE
vR.P.8,3,UNet+ResNet34,BCE+Dice,0.5367,0.6985,0.9541,,completed,NEUTRAL
vR.P.9,3,UNet+ResNet34,Focal+Dice,0.5294,0.6923,0.9323,,completed,NEUTRAL
vR.P.10,3,UNet+ResNet34+CBAM,Focal+Dice,0.5719,0.7277,0.9573,,completed,POSITIVE
vR.P.10.r02,3,UNet+ResNet34+CBAM,Focal+Dice,0.5719,0.7277,0.9573,,completed,Reproducibility
vR.P.11,3,UNet+ResNet34,Focal+Dice,0.5430,0.7038,0.9486,,completed,POSITIVE
vR.P.12,3,UNet+ResNet34,Focal+Dice,0.5347,0.6968,0.9502,,completed,NEUTRAL
vR.P.13,3,UNet+ResNet34+CBAM,Focal+Dice,0.5756,0.7306,0.9606,,completed,POSITIVE
vR.P.14,3,UNet+ResNet34,BCE+Dice,0.4693,0.6388,0.9618,,completed,NEGATIVE
vR.P.14b,3,UNet+ResNet34,BCE+Dice,0.4693,0.6388,0.9618,,completed,NEGATIVE (re-run with complete eval)
vR.P.15,3,UNet+ResNet34,BCE+Dice,0.5785,0.7329,0.9608,,completed,POSITIVE
vR.P.16,3,UNet+ResNet34,BCE+Dice,0.1911,0.3209,0.7778,,completed,NEGATIVE (catastrophic)
vR.P.17,6,UNet+ResNet34,BCE+Dice,0.5751,0.7302,0.9431,,completed,POSITIVE
vR.P.18,3,UNet+ResNet34,BCE+Dice,,,,,completed,INVALID (P.3 checkpoint not found)
vR.P.19,9,UNet+ResNet34,BCE+Dice,0.6618,0.7965,0.9726,,completed,BEST
vR.P.20,3,UNet+ResNet34,BCE+Dice,0.4875,0.6554,0.9399,,completed,NEGATIVE
vR.P.21,3,UNet+ResNet34,BCE+Dice,0.4468,0.6176,0.9280,,completed,NEGATIVE
vR.P.22,3,UNet+ResNet34,BCE+Dice,0.3133,0.4771,0.8587,,completed,NEGATIVE
vR.P.23,3,UNet+ResNet34,BCE+Dice,0.3079,0.4709,0.8453,,completed,NEGATIVE
vR.P.24,3,UNet+ResNet34,BCE+Dice,0.3555,0.5245,0.8831,,completed,NEGATIVE
vR.P.25,3,UNet+ResNet34,BCE+Dice+EdgeBCE,0.5479,0.7079,0.9518,,completed,POSITIVE
vR.P.26,3,DualTaskUNet+ResNet34,BCE+Dice+ClsBCE,0.5518,0.7111,0.9573,,completed,POSITIVE
vR.P.27,3,UNet+ResNet34,BCE+Dice,0.5510,0.7105,0.9553,,completed,POSITIVE
vR.P.28,3,UNet+ResNet34,BCE+Dice,0.5643,0.7215,0.9572,,completed,POSITIVE
vR.P.30,3,UNet+ResNet34+CBAM,BCE+Dice,0.5921,0.7438,0.9733,,completed,POSITIVE
vR.P.30.1,3,UNet+ResNet34+CBAM,BCE+Dice,0.6343,0.7762,0.9795,,completed,POSITIVE
vR.P.30.2,3,UNet+ResNet34+CBAM,BCE+Dice,0.6286,0.7719,0.9755,,completed,POSITIVE
vR.P.30.3,3,UNet+ResNet34+CBAM,Focal+Dice,0.6011,0.7508,0.9694,,completed,POSITIVE
vR.P.30.4,3,UNet+ResNet34+CBAM,BCE+Dice,0.6210,0.7662,0.9726,,completed,POSITIVE
vR.P.40.1,3,UNet+EffNetB4,BCE+Dice,0.6064,0.7549,0.9678,,completed,POSITIVE
vR.P.40.2,9,UNet+EffNetB4,BCE+Dice,,,,,crashed,INVALID (crashed)
vR.P.40.3,9,UNet+InceptionV1,BCE+Dice,0.3128,0.4765,0.9187,,completed,NEGATIVE
vR.P.40.4,9,UNet+InceptionV2,BCE+Dice,0.4462,0.6171,0.9435,,completed,NEGATIVE
vR.P.40.5,9,UNet+InceptionV3,BCE+Dice,0.4409,0.6119,0.9462,,completed,NEGATIVE
vR.P.41,9,UNet+InceptionUnified,BCE+Dice,,,,,crashed,INVALID (crashed)
